debugYJU5WZ:debugRLGCS0,engagement,10
debugYJU5WZ:debugRLGCS0,difficulty,0
debugZTBZDM:debugD9S0XE,difficulty,10
debugZTBZDM:debugD9S0XE,engagement,10
debug56WBTA:debugNCR13T,engagement,5
debug56WBTA:debugNCR13T,difficulty,5
debugQQXVTS:debugHTYLT3,engagement,5
debugQQXVTS:debugHTYLT3,difficulty,5
debugXYZW3R:debugNLD3NU,engagement,5
debugXYZW3R:debugNLD3NU,difficulty,5
debugI8W21H:debugLZEC06,engagement,10
debugI8W21H:debugLZEC06,difficulty,10
debug6YMUDE:debugTIUTVT,engagement,5
debug6YMUDE:debugTIUTVT,difficulty,5
debugJ18A3L:debug1298UR,engagement,5
debugJ18A3L:debug1298UR,difficulty,5
debugYEO0RB:debug0QTS3M,engagement,10
debugYEO0RB:debug0QTS3M,difficulty,0
debug8AZVJC:debug1F74DO,video-0-watch-time,"[1878, 1681]"
debug8AZVJC:debug1F74DO,video-1-watch-time,"[1878, 1681]"
debug8AZVJC:debug1F74DO,which-robot,N/A
debug8AZVJC:debug1F74DO,engagement,5
debug8AZVJC:debug1F74DO,difficulty,5
